    inst#     actual  predicted error prediction
        1        1:?        1:N       0.982 
        2        1:?        1:N       0.533 
        3        1:?        1:N       0.669 
        4        1:?        1:N       0.922 
        5        1:?        1:N       0.994 
        6        1:?        1:N       0.568 
        7        1:?        1:N       0.994 
        8        1:?        1:N       0.875 
        9        1:?        1:N       0.61 
       10        1:?        1:N       0.953 
       11        1:?        2:Y       0.994 
       12        1:?        1:N       0.97 
       13        1:?        1:N       0.994 
       14        1:?        1:N       0.993 
       15        1:?        2:Y       0.985 
       16        1:?        1:N       0.997 
       17        1:?        1:N       0.996 
       18        1:?        1:N       0.817 
       19        1:?        2:Y       1 
       20        1:?        2:Y       1 
       21        1:?        2:Y       0.915 
       22        1:?        1:N       0.992 
       23        1:?        2:Y       0.794 
       24        1:?        1:N       0.815 
       25        1:?        1:N       0.994 
       26        1:?        1:N       0.969 
       27        1:?        1:N       0.996 
       28        1:?        1:N       0.982 
       29        1:?        1:N       0.974 
       30        1:?        1:N       0.979 
       31        1:?        2:Y       0.972 
       32        1:?        1:N       0.989 
       33        1:?        1:N       0.954 
       34        1:?        1:N       0.994 
       35        1:?        1:N       0.979 
       36        1:?        2:Y       0.796 
       37        1:?        1:N       1 
       38        1:?        1:N       0.851 
       39        1:?        1:N       0.516 
       40        1:?        2:Y       0.994 
       41        1:?        1:N       0.97 
       42        1:?        1:N       0.994 
       43        1:?        1:N       0.578 
       44        1:?        2:Y       0.995 
       45        1:?        1:N       0.897 
       46        1:?        1:N       0.993 
       47        1:?        2:Y       0.991 
       48        1:?        2:Y       1 
       49        1:?        1:N       0.994 
       50        1:?        1:N       0.994 
       51        1:?        1:N       0.911 
       52        1:?        1:N       0.557 
       53        1:?        2:Y       0.507 
       54        1:?        1:N       0.997 
       55        1:?        2:Y       1 
       56        1:?        1:N       0.682 
       57        1:?        1:N       0.971 
       58        1:?        2:Y       0.529 
       59        1:?        1:N       0.989 
       60        1:?        1:N       0.877 
       61        1:?        1:N       0.996 
       62        1:?        1:N       0.996 
       63        1:?        1:N       0.996 
       64        1:?        2:Y       1 
       65        1:?        1:N       0.878 
       66        1:?        1:N       0.779 
       67        1:?        1:N       0.99 
       68        1:?        1:N       0.998 
       69        1:?        1:N       0.975 
       70        1:?        1:N       0.825 
       71        1:?        2:Y       0.998 
       72        1:?        1:N       1 
       73        1:?        1:N       0.994 
       74        1:?        1:N       0.994 
       75        1:?        1:N       0.994 
       76        1:?        1:N       0.545 
